shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
V,5,G,3,LA2663,L,28,5/5/08,26.99,0.72,7.71,7.09,,8.1,26.61,27.65,4,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,5,H,3,LA1363,L,28,5/5/08,28.09,9.48,9.88,8.04,4.52,12.24,54.29,52.45,5,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
V,5,A,4,LA2560,L,28,5/5/08,39.27,8.05,9.36,11.94,4.71,17.1,30.43,42.76,5,102,-8.66,-78.29,480,S. pennellii,Dan
V,5,B,4,LA446,L,28,5/5/08,27.58,4.96,1.71,13.43,8.9,13.49,37.73,38.99,5,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
V,5,C,4,LA1954,L,28,5/5/08,47.16,14.76,0.08,11.05,5.73,14.88,47.14,49.43,5,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,5,D,4,LA1969,L,28,5/5/08,42.72,3.84,1.18,14.34,8.75,16.32,31.96,31.96,6,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,5,E,4,LA2891,L,28,5/5/08,37.78,4.29,0.08,5.3,2.74,16.78,42.63,42.7,6,107,-25.4,-70.4,660,S. chilense,Dan
V,5,F,4,LA1316,L,28,5/5/08,38.42,4.63,2.51,11.62,8.98,22.46,52.88,57.29,5,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,5,G,4,LA2695,L,28,5/5/08,31.72,4.26,6.86,5.83,4.12,13.54,45.64,52.11,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
Z,6,B,1,LA2580,H,29,5/6/08,28.33,1.72,0.53,1.23,1.36,15.35,23.18,33.79,5,111,-9.5167,-78.0083,740,S. pennellii,Pepe
Z,6,C,1,LA1305,H,29,5/6/08,24.88,2.39,1.01,3.1,1.24,8.25,31.53,24.62,5,120,-13.3833,-75.3583,3360,S. peruvianum,Pepe
Z,6,D,1,LA1973,H,29,5/6/08,43.36,3.71,2.91,8.05,5.69,22.32,45.73,49.91,6,110,-16.2333,-71.7,2585,S. peruvianum,Pepe
Z,6,E,1,LA2748,H,29,5/6/08,32.55,0.49,0.31,1.48,1.12,13.84,35.04,45.39,6,105,-20.4833,-69.9833,1020,S. chilense,Pepe
Z,6,F,1,LA2931,H,29,5/6/08,44.99,0.93,0.64,1.76,0.76,10.25,29.32,29.84,5,106,-20.9167,-69.0667,2460,S. chilense,Pepe
